Ilan_Tarihi,Marka,Arac_Tip_Grubu,Arac_Tip,Model_Yil,Yakit_Turu,Vites,CCM,Beygir_Gucu,Renk,Kasa_Tipi,Kimden,Durum,Km,Fiyat,Arac_Yasi,Km_Yil
27/05/2020,Jaguar,XF,2.0 D Prestige Plus,2017,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,26100,634500,3,8700.0
16/06/2020,Acura,CL,-,2015,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Mavi ,Sedan,Sahibinden,2. El,127000,151500,5,25400.0
14/06/2020,Acura,CL,2.2,1994,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Turkuaz ,Sedan,Sahibinden,2. El,175000,19750,26,6730.7692307692305
11/06/2020,Acura,CL,-,2013,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Kahverengi ,Sedan,Sahibinden,2. El,325,52000,7,46.42857142857143
11/06/2020,Acura,CL,2.2,2010,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Sedan,Sahibinden,2. El,207000,148750,10,20700.0
04/06/2020,Acura,CL,2.2,1999,Dizel,Düz Vites,1801-2000 cc,101-125 BG,Lacivert ,Roadster,Galeriden,2. El,320000,42500,21,15238.095238095239
03/06/2020,Acura,CL,2.2,2014,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Kırmızı ,Sedan,Galeriden,2. El,183,170000,6,30.5
02/06/2020,Acura,CL,-,2014,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,79000,82500,6,13166.666666666666
29/05/2020,Acura,RSX,Type-S,2019,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Beyaz ,Sedan,Yetkili,0 km,15662,189000,1,15662.0
29/05/2020,Acura,RSX,Type-S,2019,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Gri ,Sedan,Yetkili,0 km,31971,189000,1,31971.0
